Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
82	-4.1221256	96.71372	166.85123	-111.80253	-90.1187	41.56909	34.478077	-107.34263	502.0	110.3	327999	53.78914	36.065758	148.50322	-136.3418	-54.608925	7.5413084	5539.1063022613525
83	-102.08039	8.105844	-87.18515	-110.14089	-106.159836	0.5025078	-105.03241	-106.703575	353.2	73.1	331999	53.57695	35.860706	146.80641	-143.05627	-54.436043	7.458959	5613.761756896973
84	-99.38257	13.011393	-69.5985	-109.62178	-108.88118	1.3165059	-107.5487	-111.145836	563.125	82.3	335999	55.908325	36.804504	137.10037	-122.90607	-57.031548	8.728936	5688.479647159576
85	-129.66498	30.913218	-94.66943	-191.2424	-146.71904	20.515764	-113.9052	-172.33745	383.18182	343.7	339999	59.15082	38.032906	131.57863	-138.97777	-60.131344	8.4952345	5764.4358558654785
86	-125.95337	13.057515	-96.647255	-147.32045	-96.217545	39.28192	0.41920868	-137.98886	283.46155	508.8	343999	57.88526	37.951218	115.74192	-125.880806	-58.729156	8.534854	5841.827828168869
87	-96.261475	20.545193	-66.37301	-124.87485	-111.20963	0.5212395	-110.22023	-112.08603	705.0	1000.0	347999	55.34864	37.298355	115.80507	-133.18916	-56.051323	8.168121	5924.300953388214
88	-103.823685	10.13588	-87.13198	-114.51173	-127.470665	21.142235	-98.63175	-166.62553	1000.0	434.0	351999	51.22279	36.06201	109.45807	-132.67255	-51.854984	7.628708	6002.216772556305
89	-14.173381	81.650955	118.494965	-120.62545	-95.71704	61.52802	81.09767	-132.5496	682.2857	440.8	355999	47.74489	34.070847	98.560196	-137.66985	-48.362762	6.9416733	6079.391680717468
90	-24.99994	130.43655	272.59665	-125.222305	55.000526	118.25448	269.9356	-54.383297	403.4	534.2	359999	44.438225	33.151947	101.69836	-131.39288	-45.016293	6.8318386	6156.766438007355
91	-48.6579	77.35009	101.057594	-144.45663	-132.43858	29.1365	-50.183575	-153.2998	491.375	193.7	363999	41.740746	32.99283	96.96105	-142.64432	-42.32874	5.6956058	6230.44043135643
92	-122.48849	34.597885	-21.69997	-155.88132	-106.135086	22.080435	-75.04903	-137.67776	252.125	292.9	367999	39.81444	32.338013	88.68895	-126.9218	-40.386333	5.9587207	6304.6807076931
93	-61.763935	65.39369	108.258446	-146.65308	-33.364307	46.468662	60.30989	-74.550224	311.15384	285.8	371999	37.236767	32.327682	89.37554	-161.88634	-37.76448	5.8339405	6378.710271120071
94	-53.626434	44.20156	67.93698	-126.35818	216.75737	80.45445	267.588	35.293667	238.05882	892.7	375999	35.50186	32.412197	77.990685	-142.49004	-36.08347	5.8260117	6458.793627738953
95	-28.826239	93.08954	275.16956	-105.801346	-1.8605473	102.73137	275.6088	-78.449196	277.35715	348.8	379999	35.216953	32.742767	71.03699	-126.365234	-35.874977	5.874781	6534.532830953598
96	59.021297	107.2942	270.3105	-55.03016	-1.5706685	138.97627	261.56973	-104.65141	527.3333	451.2	383999	35.97263	32.692757	73.91884	-140.09065	-36.648212	6.178366	6610.297933101654
97	236.79594	57.329617	270.20557	122.785034	-52.303436	126.664	266.1346	-135.7952	926.8	546.8	387999	36.593616	32.62257	74.8987	-158.62128	-37.228992	5.798071	6687.094251871109
98	-71.21323	103.36196	271.05634	-115.406525	-112.05342	5.454213	-100.98421	-118.63895	303.08334	69.0	391999	36.62267	32.649487	71.98774	-131.22215	-37.252434	5.8769975	6760.014163732529
99	-0.46858868	162.36307	264.25708	-133.83005	168.27563	83.981346	227.17871	-10.416392	628.1429	902.8	395999	36.25347	33.03424	69.1552	-131.27695	-36.868347	6.073422	6840.291701078415
100	220.2995	72.60348	268.46988	95.00617	199.48538	66.72776	245.6585	3.2857475	896.75	948.4	399999	36.21459	33.12552	65.98221	-133.77628	-36.84407	5.809095	6921.059671640396
101	167.99197	136.10353	262.1068	-102.10416	180.77469	76.33665	237.57578	7.4308352	809.8	929.7	403999	35.617886	32.22009	63.357693	-162.72429	-36.155186	5.182835	7001.577499389648
102	213.66727	23.86039	253.81064	194.35556	225.49246	89.14788	260.7701	-41.613335	1000.0	926.6	407999	33.541973	31.305069	65.48611	-130.18742	-34.008247	4.961679	7082.774813175201
103	92.3917	153.23863	269.75406	-93.544624	196.36725	75.11527	238.18373	-27.40421	585.7143	936.6	411999	31.610653	30.600515	61.104843	-136.42769	-32.084236	5.2303796	7164.783846378326
104	81.87976	145.21062	270.81876	-112.40568	240.57397	85.41611	271.70404	-15.627287	598.1429	850.6	415999	30.359108	30.067705	58.664017	-138.84096	-30.839037	4.694343	7246.047157287598
105	92.822495	151.78993	279.60953	-86.90628	147.49554	140.79149	277.24817	-109.66418	497.375	616.8	419999	29.401083	30.07441	63.836384	-125.353035	-29.871107	4.5735235	7325.097342252731
106	91.625465	144.02097	278.5062	-90.31763	156.07236	163.3154	274.4858	-100.217224	659.6667	935.6	423999	28.946312	30.253315	59.773537	-140.84114	-29.474394	4.904331	7407.280504465103
107	19.951914	166.3852	279.48068	-108.57513	182.61497	130.92688	276.0962	-69.18258	600.1429	719.0	427999	29.702972	30.242298	61.5777	-139.93591	-30.245825	5.469675	7487.418264865875
108	119.59942	157.52382	278.6982	-40.20304	265.63763	5.014848	274.25235	256.8508	921.5	934.6	431999	29.521837	29.608706	59.16597	-134.17567	-29.985323	4.9722996	7569.2331030368805
109	103.70475	116.95886	278.52243	-35.948414	235.48811	107.292854	275.2132	-86.34465	613.7143	783.5	435999	28.64918	29.762617	60.958347	-144.93167	-29.132807	4.7599025	7649.446923732758
110	190.47717	123.99183	279.81543	-43.54412	253.93889	68.240425	278.24158	49.23457	710.0	784.7	439999	28.25617	29.36352	65.95257	-139.0832	-28.690195	4.5431294	7730.257995128632
111	32.87214	106.766136	281.22153	-81.35879	-68.2871	23.18734	-13.680104	-89.320015	483.42856	197.1	443999	27.572145	28.885658	58.89589	-141.5052	-28.036509	4.504036	7806.330976486206
112	-31.866955	55.67254	98.41367	-87.77745	-59.21746	18.11005	-40.41944	-102.827354	286.4375	182.6	447999	27.58505	29.71019	75.275406	-123.172005	-28.10308	4.470384	7881.724512577057
113	5.8382845	100.90401	270.97397	-105.54657	240.5922	97.88427	273.859	-53.053814	338.0909	801.5	451999	28.318094	30.603458	76.94389	-132.7369	-28.828373	4.772304	7962.211785554886
114	171.68443	116.10908	278.34946	-18.670341	127.9657	158.03839	279.6569	-96.30298	678.5	552.0	455999	29.455423	30.961784	69.28972	-137.96399	-30.026785	5.102472	8039.016187429428
115	-35.373055	56.451614	122.22013	-108.89174	155.14732	123.390915	276.8365	-20.601583	258.875	639.2	459999	31.29212	31.121176	71.08265	-139.09341	-31.8863	5.4569793	8116.039833068848
116	22.027882	105.45755	269.9131	-92.56786	200.92413	150.3623	277.1311	-104.94537	407.4	678.7	463999	32.43353	31.449312	69.37074	-138.92926	-32.983562	5.2730675	8193.446225643158
117	111.11668	104.81096	275.25067	-52.98532	197.10947	127.57979	277.1431	-88.33176	643.8	713.3	467999	32.605278	31.158674	69.82473	-125.238846	-33.133305	5.165728	8271.493824720383
118	36.806347	131.12354	268.52777	-85.36924	45.84129	108.67461	256.07648	-92.99896	459.6	559.9	471999	33.090744	30.648178	65.186844	-137.1986	-33.65935	5.3566103	8348.503736019135
119	-15.595484	108.81911	262.76245	-101.68852	7.229491	108.91949	266.4039	-85.79424	363.0	398.4	475999	33.8847	30.796402	68.506935	-133.31712	-34.474808	5.266362	8423.008271217346
120	38.08048	111.23849	262.7052	-55.061333	43.125896	147.27383	255.10884	-121.37321	608.6667	539.5	479999	34.21027	31.001326	69.17554	-130.69249	-34.758064	4.9274435	8498.894676446915
